標準索引,standard_純單方藥組成,匹配LLM索引,LLMmodel_純單方藥組成,標準藥材數,LLM萃取藥材數,交集數,Jaccard_Similarity,Precision,Recall,F1_Score
113,"[""蒼朮"",""白朮"",""陳皮"",""白茯苓"",""厚樸"",""乾薑"",""當歸"",""甘草"",""炒麴"",""地榆"",""人參"",""白芍藥"",""益智仁"",""升麻"",""葛根"",""黒附子""]",59,"['陳橘末', '白茯苓', '黃連', '黃栢', '乾薑', '附子', '龍骨', '赤石脂', '甘草', '人參當歸']",16,10,3,0.130434782608696,0.3,0.1875,0.230769230769231
114,"[""水銀"",""膩粉"",""滑石""]",32,"['水銀', '膩粉', '滑石']",3,3,3,1,1,1,1
115,"[""大黃"",""前胡"",""半夏"",""人參"",""黃芩"",""赤茯苓"",""木香"",""檳榔""]",33,"['大黃', '前胡', '半夏', '人參', '黃芩', '赤茯苓', '木香', '檳榔']",8,8,8,1,1,1,1
116,"[""冬葵子""]",34,['冬葵子'],1,1,1,1,1,1,1
117,"[""硫黃""]",35,"['硫黃', '右藥末', '蒸', '麻仁', '杏仁']",1,5,1,0.2,0.2,1,0.333333333333333
118,"[""硫黃"",""陳皮"",""五靈脂""]",36,"['硫黃', '陳皮', '五靈脂']",3,3,3,1,1,1,1
119,"[""葳靈仙茸"",""郁李仁"",""木香"",""枳實"",""麻仁"",""檳榔"",""人參""]",37,"['葳靈仙茸', '郁李仁', '木香', '枳實', '麻仁', '檳榔', '人參']",7,7,7,1,1,1,1
120,"[""蟾酥"",""麝香"",""輕粉"",""巴豆""]",101,"['射干', '竹瀝', '芒硝']",4,3,0,0,0,0,0
121,"[""京三稜"",""木香"",""當歸"",""桂"",""肉蓯蓉"",""牛膝"",""羌活"",""芎藭"",""赤芍藥"",""防風"",""枳殻"",""白朮"",""檳榔"",""郁李仁"",""大黃""]",120,"['沈香', '犀角', '連翹', '梔子仁', '升麻', '當歸', '大黃', '木香', '枳殻', '赤芍藥']",15,10,5,0.25,0.5,0.333333333333333,0.4
122,"[""葵子末"",""青竹葉""]",40,"['葵子末', '青竹葉']",2,2,2,1,1,1,1
123,"[""貫仲"",""山豆根"",""黃藥子"",""牙硝"",""寒水石"",""草龍膽"",""乾葛"",""雄大豆"",""百藥煎"",""紫河車"",""甘草節"",""薄荷"",""梔子"",""大黃"",""豆粉""]",43,"['山豆根', '黃藥子', '牙硝', '寒水石', '草龍膽', '乾葛', '雄大豆', '百藥煎', '紫河車', '甘草節', '薄荷', '梔子', '大黃', '豆粉']",15,14,14,0.933333333333333,1,0.933333333333333,0.96551724137931
124,"[""雞脛骨"",""大黃"",""大麻仁""]",44,"['雞脛骨', '大黃', '大麻仁']",3,3,3,1,1,1,1
125,"[""大麻子"",""八角茴香"",""生蔥白"",""五苓散"",""三和散"",""王不留行"",""麥門冬""]",45,"['大麻子', '八角茴香', '生蔥白', '三七', '五苓散', '三和散', '王不留行麥門冬']",7,7,5,0.555555555555556,0.714285714285714,0.714285714285714,0.714285714285714
126,"[""檳榔"",""枳殻"",""牽牛子"",""桑根白皮"",""川大黃"",""郁李仁"",""陳橘皮""]",46,"['檳榔', '枳殻', '牽牛子', '桑根白皮', '川大黃', '郁李仁', '陳橘皮']",7,7,7,1,1,1,1
127,"[""厚朴"",""白朮"",""半夏麯"",""枳實"",""陳皮"",""甘草""]",47,"['厚朴', '白朮', '半夏麯', '枳實', '陳皮', '甘草']",6,6,6,1,1,1,1
128,"[""大黃"",""檳榔"",""川芒硝"",""枳殻"",""木香"",""子芩""]",48,"['大黃', '檳榔', '川芒硝', '枳殻', '木香', '子芩']",6,6,6,1,1,1,1
129,"[""川大黃"",""黃芩"",""黃耆"",""𤣥參"",""丹參"",""赤芍藥"",""枳殻""]",49,"['川大黃', '黃芩', '黃耆', '𤣥參', '丹參', '赤芍藥', '枳殻']",7,7,7,1,1,1,1
130,"[""鱉甲"",""蝟皮"",""桂心"",""磁石""]",50,"['鱉頭', '蝟皮', '桂心', '磁石']",4,4,3,0.6,0.75,0.75,0.75
131,"[""皂莢樹白皮"",""甘草"",""枳殻""]",51,"['皂莢樹白皮', '甘草', '枳殻']",3,3,3,1,1,1,1
132,"[""豬膽"",""黃連"",""阿膠"",""芎藭"",""烏梅肉"",""艾葉""]",52,"['豬膽', '黃連', '阿膠', '芎藭', '烏梅肉', '艾葉']",6,6,6,1,1,1,1
133,"[""檳榔"",""川大黃"",""沈香"",""赤芍藥"",""防風"",""芎藭"",""犀角屑"",""甘草"",""枳殻""]",53,"['檳榔', '川大黃', '沈香', '赤芍藥', '防風', '芎藭', '犀角屑', '甘草', '枳殻']",9,9,9,1,1,1,1
134,"[""紫背蕺""]",54,"['莨菪子', '紫背蕺', '芭蕉葉']",1,3,1,0.333333333333333,0.333333333333333,1,0.5
135,"[""牛蒡子"",""赤芍藥"",""防風"",""荊芥穗"",""甘草"",""當歸""]",55,"['牛蒡子', '赤芍藥', '防風', '荊芥穗', '甘草', '當歸']",6,6,6,1,1,1,1
136,"[""肉豆䓻"",""龍骨"",""白朮"",""厚樸""]",56,"['肉豆䓻', '龍骨', '白朮', '厚樸']",4,4,4,1,1,1,1
137,"[""蛇床子"",""甘草""]",41,"['黃梔子', '大黃', '甘草']",2,3,1,0.25,0.333333333333333,0.5,0.4
138,"[""赤石脂"",""龍骨"",""白石脂"",""當歸"",""蓬莪荗"",""肉豆蔲"",""黃連"",""白芍藥"",""厚樸""]",60,"['赤石脂', '龍骨', '白石脂', '當歸', '蓬莪荗', '肉豆蔲', '黃連', '白芍藥', '厚樸']",9,9,9,1,1,1,1
139,"[""硇砂"",""硫黃"",""白礬"",""肉豆蔲"",""葫蘆把"",""訶梨勒皮"",""附子"",""蘹香子"",""補骨脂""]",61,"['硇砂', '硫黃', '白礬']",9,3,3,0.333333333333333,1,0.333333333333333,0.5
140,"[""枳殻"",""芎藭"",""沈香"",""川樸硝"",""川大黃"",""甘草""]",62,"['枳殻', '芎藭', '沈香', '川樸硝', '川大黃', '甘草']",6,6,6,1,1,1,1
141,"[""木香"",""黃連"",""訶子皮"",""無食子"",""赤石脂"",""厚樸"",""當歸""]",63,"['黃連', '訶子皮', '無食子', '赤石脂', '厚樸', '當歸']",7,6,6,0.857142857142857,1,0.857142857142857,0.923076923076923
142,"[""麥門冬"",""知母"",""蒲黃"",""黃芩"",""木通"",""升麻"",""大黃""]",64,"['麥門冬', '知母', '蒲黃', '黃芩', '木通', '升麻', '大黃']",7,7,7,1,1,1,1
143,"[""生地黃"",""白茅根"",""蔥白""]",65,"['生地黃', '白茅根', '蔥白']",3,3,3,1,1,1,1
144,"[""沉香"",""桂"",""附子"",""白龍骨"",""木香"",""當歸"",""枳實""]",66,"['沉香', '桂', '附子', '白龍骨', '木香', '當歸', '枳實']",7,7,7,1,1,1,1
145,"[""𣡸金"",""白附子"",""羗活"",""甘草"",""黃連"",""黃芩"",""川大黃"",""麥門冬"",""川升麻""]",67,"['𣡸金', '白附子', '羗活', '甘草', '黃連', '黃芩', '側栢', '大黃', '乾蠍']",9,9,6,0.5,0.666666666666667,0.666666666666667,0.666666666666667
